class,type,802.11u Mapping
historic,locomotive,ASSEMBLY - MUSEUM
historic,tomb,ASSEMBLY - MUSEUM
historic,ruins,ASSEMBLY - MUSEUM
historic,heritage,ASSEMBLY - MUSEUM
craft,plumber,BUSINESS - PROFESSIONAL OFFICE
craft,brewery,FACTORY-INDUSTRIAL - FACTORY
craft,winery,FACTORY-INDUSTRIAL - FACTORY
craft,hvac,BUSINESS - PROFESSIONAL OFFICE
craft,insulation,BUSINESS - PROFESSIONAL OFFICE
craft,stonemason,BUSINESS - PROFESSIONAL OFFICE
craft,electronics_repair,BUSINESS - PROFESSIONAL OFFICE
craft,welder,FACTORY-INDUSTRIAL - FACTORY
craft,window_construction,FACTORY-INDUSTRIAL - FACTORY
craft,upholsterer,BUSINESS - PROFESSIONAL OFFICE
craft,key_cutter,BUSINESS - PROFESSIONAL OFFICE
healthcare,rehabilitation,INSTITUTIONAL - HOSPITAL
healthcare,optometrist,BUSINESS - DOCTOR OR DENTIST OFFICE
healthcare,alternative,BUSINESS - DOCTOR OR DENTIST OFFICE
healthcare,nurse,BUSINESS - DOCTOR OR DENTIST OFFICE
office,yes,BUSINESS - PROFESSIONAL OFFICE
office,ngo,BUSINESS - PROFESSIONAL OFFICE
office,tax_advisor,BUSINESS - PROFESSIONAL OFFICE
office,estate_agent,BUSINESS - PROFESSIONAL OFFICE
office,company,BUSINESS - PROFESSIONAL OFFICE
office,coworking,BUSINESS - PROFESSIONAL OFFICE
office,telecommunication,BUSINESS - PROFESSIONAL OFFICE
office,government,BUSINESS - PROFESSIONAL OFFICE
office,lawyer,BUSINESS - ATTORNEY OFFICE
office,insurance,BUSINESS - PROFESSIONAL OFFICE
office,accountant,BUSINESS - PROFESSIONAL OFFICE
office,association,BUSINESS - PROFESSIONAL OFFICE
office,property_management,BUSINESS - PROFESSIONAL OFFICE
office,financial,BUSINESS - BANK
office,therapist,BUSINESS - DOCTOR OR DENTIST OFFICE
office,educational_institution,EDUCATIONAL - UNSPECIFIED EDUCATIONAL
office,consulting,BUSINESS - PROFESSIONAL OFFICE
office,software,BUSINESS - RESEARCH AND DEVELOPMENT FACILITY
office,it,BUSINESS - RESEARCH AND DEVELOPMENT FACILITY
building,commercial,BUSINESS - UNSPECIFIED BUSINESS
building,church,ASSEMBLY - PLACE OF WORSHIP
building,garage,STORAGE - UNSPECIFIED STORAGE
building,garages,STORAGE - UNSPECIFIED STORAGE
building,farm,FACTORY-INDUSTRIAL - UNSPECIFIED FACTORY AND INDUSTRIAL
building,hospital,INSTITUTIONAL - HOSPITAL
building,hotel,RESIDENTIAL - HOTEL OR MOTEL
building,industrial,FACTORY-INDUSTRIAL - UNSPECIFIED FACTORY AND INDUSTRIAL
building,office,BUSINESS - PROFESSIONAL OFFICE
building,public,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
building,retail,MERCANTILE - RETAIL STORE
building,school,EDUCATIONAL - SCHOOL PRIMARY
building,shop,MERCANTILE - RETAIL STORE
building,stadium,ASSEMBLY - STADIUM
building,store,MERCANTILE - RETAIL STORE
building,train_station,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
building,university,EDUCATIONAL - UNIVERSITY OR COLLEGE
building,mixed,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
building,storage,STORAGE - UNSPECIFIED STORAGE
building,warehouse,STORAGE - UNSPECIFIED STORAGE
building,civic,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
building,transportation,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
building,government,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
building,fire_station,BUSINESS - FIRE STATION
building,parking,OUTDOOR - TRAFFIC CONTROL
amenity,parcel_locker,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
amenity,airport,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
amenity,arts_centre,ASSEMBLY - CONVENTION CENTER
amenity,atm,BUSINESS - BANK
amenity,auditorium,ASSEMBLY - AMPHITHEATER
amenity,bank,BUSINESS - BANK
amenity,bar,ASSEMBLY - BAR
amenity,bicycle_parking,OUTDOOR - TRAFFIC CONTROL
amenity,bicycle_rental,OUTDOOR - KIOSK
amenity,brothel,BUSINESS - PROFESSIONAL OFFICE
amenity,bureau_de_change,BUSINESS - BANK
amenity,bus_station,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
amenity,cafe,ASSEMBLY - COFFEE SHOP
amenity,car_rental,MERCANTILE - AUTOMOTIVE SERVICE STATION
amenity,car_wash,MERCANTILE - AUTOMOTIVE SERVICE STATION
amenity,casino,ASSEMBLY - AMUSEMENT PARK
amenity,cinema,ASSEMBLY - THEATER
amenity,club,ASSEMBLY - BAR
amenity,college,EDUCATIONAL - UNIVERSITY OR COLLEGE
amenity,community_centre,ASSEMBLY - CONVENTION CENTER
amenity,courthouse,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
amenity,crematorium,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
amenity,dentist,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,doctors,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,driving_school,EDUCATIONAL - UNSPECIFIED EDUCATIONAL
amenity,embassy,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
amenity,fast_food,ASSEMBLY - RESTAURANT
amenity,ferry_terminal,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
amenity,fuel,MERCANTILE - GAS STATION
amenity,grave_yard,OUTDOOR - CITY PARK
amenity,hall,ASSEMBLY - CONVENTION CENTER
amenity,health_centre,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,hospital,INSTITUTIONAL - HOSPITAL
amenity,hotel,RESIDENTIAL - HOTEL OR MOTEL
amenity,ice_cream,ASSEMBLY - RESTAURANT
amenity,library,ASSEMBLY - LIBRARY
amenity,market,MERCANTILE - RETAIL STORE
amenity,marketplace,MERCANTILE - SHOPPING MALL
amenity,nightclub,ASSEMBLY - BAR
amenity,office,BUSINESS - PROFESSIONAL OFFICE
amenity,park,OUTDOOR - CITY PARK
amenity,parking,OUTDOOR - TRAFFIC CONTROL
amenity,pharmacy,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,place_of_worship,ASSEMBLY - PLACE OF WORSHIP
amenity,police,BUSINESS - POLICE STATION
amenity,post_office,BUSINESS - POST OFFICE
amenity,pub,ASSEMBLY - BAR
amenity,reception_area,BUSINESS - PROFESSIONAL OFFICE
amenity,restaurant,ASSEMBLY - RESTAURANT
amenity,sauna,BUSINESS - PROFESSIONAL OFFICE
amenity,shop,MERCANTILE - RETAIL STORE
amenity,shopping,MERCANTILE - SHOPPING MALL
amenity,social_club,ASSEMBLY - BAR
amenity,studio,BUSINESS - PROFESSIONAL OFFICE
amenity,supermarket,MERCANTILE - GROCERY MARKET
amenity,taxi,OUTDOOR - TRAFFIC CONTROL
amenity,theatre,ASSEMBLY - THEATER
amenity,townhall,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
amenity,veterinary,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,youth_centre,ASSEMBLY - CONVENTION CENTER
amenity,kindergarten,EDUCATIONAL - SCHOOL PRIMARY
amenity,nursery,EDUCATIONAL - SCHOOL PRIMARY
